distance_next,y_next,width_next,height_next,y_dino,game_speed,action,score,last_failed
920,305,102,95,340,20,2,2,0
900,305,102,95,340,20,2,3,0
880,305,102,95,340,20,2,4,0
860,305,102,95,340,20,2,5,0
840,305,102,95,340,20,2,6,0
820,305,102,95,340,20,2,7,0
800,305,102,95,340,20,2,8,0
780,305,102,95,340,20,2,9,0
760,305,102,95,306,20,1,10,0
740,305,102,95,250,20,2,11,0
720,305,102,95,207,20,2,12,0
700,305,102,95,175,20,2,13,0
680,305,102,95,152,20,2,14,0
660,305,102,95,136,20,1,15,0
640,305,102,95,125,20,1,16,0
620,305,102,95,117,20,1,17,0
600,305,102,95,117,20,1,18,0
580,305,102,95,118,20,1,19,0
560,305,102,95,122,20,1,20,0
540,305,102,95,131,20,1,21,0
520,305,102,95,147,20,1,22,0
500,305,102,95,172,20,1,23,0
480,305,102,95,340,20,2,24,0
460,305,102,95,340,20,2,25,0
440,305,102,95,340,20,2,26,0
420,305,102,95,340,20,2,27,0
400,305,102,95,340,20,2,28,0
380,305,102,95,340,20,2,29,0
360,305,102,95,340,20,2,30,0
340,305,102,95,340,20,2,31,0
320,305,102,95,340,20,2,32,0
300,305,102,95,340,20,2,33,0
280,305,102,95,340,20,2,34,0
260,305,102,95,340,20,2,35,0
240,305,102,95,340,20,2,36,0
220,305,102,95,340,20,2,37,0
200,305,102,95,340,20,2,38,0
180,305,102,95,340,20,2,39,0
160,305,102,95,340,20,2,40,0
140,305,102,95,340,20,2,41,0
120,305,102,95,340,20,2,42,0
