distance_next,y_next,width_next,height_next,y_dino,game_speed,action,score,last_failed
920,305,48,95,207,20,2,2,0
900,305,48,95,175,20,2,3,0
880,305,48,95,152,20,2,4,0
860,305,48,95,136,20,1,5,0
840,305,48,95,125,20,1,6,0
820,305,48,95,117,20,1,7,0
800,305,48,95,117,20,1,8,0
780,305,48,95,118,20,1,9,0
760,305,48,95,122,20,1,10,0
740,305,48,95,131,20,2,11,0
720,305,48,95,147,20,1,12,0
700,305,48,95,172,20,1,13,0
680,305,48,95,340,20,2,14,0
660,305,48,95,340,20,2,15,0
640,305,48,95,340,20,2,16,0
620,305,48,95,340,20,2,17,0
600,305,48,95,340,20,2,18,0
580,305,48,95,340,20,2,19,0
560,305,48,95,340,20,2,20,0
540,305,48,95,340,20,2,21,0
520,305,48,95,340,20,2,22,0
500,305,48,95,340,20,2,23,0
480,305,48,95,340,20,2,24,0
460,305,48,95,340,20,2,25,0
440,305,48,95,306,20,1,26,0
420,305,48,95,250,20,1,27,0
400,305,48,95,207,20,1,28,0
380,305,48,95,175,20,1,29,0
360,305,48,95,152,20,2,30,0
340,305,48,95,136,20,1,31,0
320,305,48,95,125,20,1,32,0
300,305,48,95,117,20,1,33,0
280,305,48,95,117,20,1,34,0
260,305,48,95,118,20,1,35,0
240,305,48,95,122,20,1,36,0
220,305,48,95,131,20,1,37,0
200,305,48,95,147,20,2,38,0
180,305,48,95,172,20,1,39,0
160,305,48,95,340,20,2,40,0
140,305,48,95,306,20,1,41,0
120,305,48,95,250,20,2,42,0
100,305,48,95,207,20,1,43,0
80,305,48,95,175,20,1,44,0
60,305,48,95,152,20,2,45,0
40,305,48,95,136,20,1,46,0
20,305,48,95,125,20,1,47,0
0,305,48,95,117,20,1,48,0
780,329,68,71,117,20,1,49,0
760,329,68,71,118,20,1,50,0
740,329,68,71,122,20,1,51,0
720,329,68,71,131,20,1,52,0
700,329,68,71,147,20,1,53,0
680,329,68,71,172,20,2,54,0
660,329,68,71,340,20,2,55,0
640,329,68,71,340,20,2,56,0
620,329,68,71,340,20,2,57,0
600,329,68,71,340,20,2,58,0
580,329,68,71,340,20,2,59,0
560,329,68,71,340,20,2,60,0
540,329,68,71,340,20,2,61,0
520,329,68,71,340,20,2,62,0
500,329,68,71,340,20,2,63,0
480,329,68,71,340,20,2,64,0
460,329,68,71,340,20,2,65,0
440,329,68,71,340,20,2,66,0
420,329,68,71,340,20,2,67,0
400,329,68,71,340,20,2,68,0
380,329,68,71,340,20,2,69,0
360,329,68,71,306,20,1,70,0
340,329,68,71,250,20,1,71,0
320,329,68,71,207,20,1,72,0
300,329,68,71,175,20,1,73,0
280,329,68,71,152,20,1,74,0
260,329,68,71,136,20,1,75,0
240,329,68,71,125,20,1,76,0
220,329,68,71,117,20,1,77,0
200,329,68,71,117,20,1,78,0
180,329,68,71,118,20,1,79,0
160,329,68,71,122,20,1,80,0
140,329,68,71,131,20,1,81,0
120,329,68,71,147,20,1,82,0
100,329,68,71,172,20,1,83,0
