distance_next,y_next,width_next,height_next,y_dino,game_speed,action,score,last_failed
920,329,105,71,340,20,2,2,0
900,329,105,71,340,20,2,3,0
880,329,105,71,340,20,2,4,0
860,329,105,71,340,20,2,5,0
840,329,105,71,340,20,2,6,0
820,329,105,71,340,20,2,7,0
800,329,105,71,340,20,2,8,0
780,329,105,71,340,20,2,9,0
760,329,105,71,340,20,2,10,0
740,329,105,71,340,20,2,11,0
720,329,105,71,340,20,2,12,0
700,329,105,71,340,20,2,13,0
680,329,105,71,340,20,2,14,0
660,329,105,71,340,20,2,15,0
640,329,105,71,340,20,2,16,0
620,329,105,71,340,20,2,17,0
600,329,105,71,340,20,2,18,0
580,329,105,71,340,20,2,19,0
560,329,105,71,340,20,2,20,0
540,329,105,71,340,20,2,21,0
520,329,105,71,340,20,2,22,0
500,329,105,71,340,20,2,23,0
480,329,105,71,340,20,2,24,0
460,329,105,71,340,20,2,25,0
440,329,105,71,340,20,2,26,0
420,329,105,71,306,20,0,27,0
400,329,105,71,306,20,0,28,0
380,329,105,71,306,20,0,29,0
360,329,105,71,306,20,0,30,0
340,329,105,71,306,20,0,31,0
320,329,105,71,306,20,0,32,0
300,329,105,71,306,20,0,33,0
280,329,105,71,306,20,0,34,0
260,329,105,71,306,20,0,35,0
240,329,105,71,306,20,0,36,0
220,329,105,71,306,20,0,37,0
200,329,105,71,306,20,0,38,0
180,329,105,71,306,20,0,39,0
160,329,105,71,306,20,1,40,0
140,329,105,71,250,20,1,41,0
120,329,105,71,207,20,1,42,0
100,329,105,71,175,20,1,43,0
80,329,105,71,152,20,1,44,0
60,329,105,71,136,20,1,45,0
40,329,105,71,125,20,1,46,0
20,329,105,71,117,20,2,47,0
0,329,105,71,117,20,1,48,0
820,329,105,71,118,20,2,49,0
800,329,105,71,122,20,2,50,0
780,329,105,71,131,20,2,51,0
760,329,105,71,147,20,2,52,0
740,329,105,71,172,20,2,53,0
720,329,105,71,340,20,2,54,0
700,329,105,71,340,20,2,55,0
680,329,105,71,340,20,2,56,0
660,329,105,71,340,20,2,57,0
640,329,105,71,340,20,2,58,0
620,329,105,71,340,20,2,59,0
600,329,105,71,340,20,2,60,0
580,329,105,71,340,20,2,61,0
560,329,105,71,340,20,2,62,0
540,329,105,71,340,20,2,63,0
520,329,105,71,340,20,2,64,0
500,329,105,71,340,20,2,65,0
480,329,105,71,340,20,2,66,0
460,329,105,71,340,20,2,67,0
440,329,105,71,340,20,2,68,0
420,329,105,71,306,20,0,69,0
400,329,105,71,306,20,0,70,0
380,329,105,71,306,20,0,71,0
360,329,105,71,306,20,0,72,0
340,329,105,71,306,20,0,73,0
320,329,105,71,306,20,0,74,0
300,329,105,71,306,20,0,75,0
280,329,105,71,306,20,0,76,0
260,329,105,71,306,20,0,77,0
240,329,105,71,306,20,0,78,0
220,329,105,71,306,20,0,79,0
200,329,105,71,306,20,0,80,0
180,329,105,71,306,20,0,81,0
160,329,105,71,306,20,1,82,0
140,329,105,71,250,20,1,83,0
120,329,105,71,207,20,1,84,0
100,329,105,71,175,20,1,85,0
80,329,105,71,152,20,1,86,0
60,329,105,71,136,20,1,87,0
40,329,105,71,125,20,1,88,0
20,329,105,71,117,20,1,89,0
0,329,105,71,117,20,1,90,0
940,305,102,95,122,20,2,92,0
920,305,102,95,131,20,2,93,0
900,305,102,95,147,20,2,94,0
880,305,102,95,172,20,2,95,0
860,305,102,95,340,20,2,96,0
840,305,102,95,340,20,2,97,0
820,305,102,95,340,20,2,98,0
800,305,102,95,340,20,2,99,0
780,305,102,95,340,20.5,2,100,0
760,305,102,95,340,20.5,2,101,0
740,305,102,95,340,20.5,2,102,0
720,305,102,95,340,20.5,2,103,0
700,305,102,95,340,20.5,2,104,0
680,305,102,95,340,20.5,2,105,0
660,305,102,95,340,20.5,2,106,0
640,305,102,95,340,20.5,2,107,0
620,305,102,95,340,20.5,2,108,0
600,305,102,95,340,20.5,2,109,0
580,305,102,95,340,20.5,2,110,0
560,305,102,95,340,20.5,2,111,0
540,305,102,95,340,20.5,2,112,0
520,305,102,95,340,20.5,2,113,0
500,305,102,95,340,20.5,2,114,0
480,305,102,95,340,20.5,2,115,0
460,305,102,95,340,20.5,2,116,0
440,305,102,95,340,20.5,2,117,0
420,305,102,95,306,20.5,0,118,0
400,305,102,95,306,20.5,0,119,0
380,305,102,95,306,20.5,0,120,0
360,305,102,95,306,20.5,0,121,0
340,305,102,95,306,20.5,0,122,0
320,305,102,95,306,20.5,0,123,0
300,305,102,95,306,20.5,0,124,0
280,305,102,95,306,20.5,0,125,0
260,305,102,95,306,20.5,0,126,0
240,305,102,95,306,20.5,0,127,0
220,305,102,95,306,20.5,0,128,0
200,305,102,95,306,20.5,0,129,0
180,305,102,95,306,20.5,0,130,0
160,305,102,95,306,20.5,0,131,0
140,305,102,95,306,20.5,0,132,0
120,305,102,95,306,20.5,0,133,0
100,305,102,95,306,20.5,0,134,0
